0	0	10.43
20	20	5.19
46	46	9.98
136	136	12.83
137	137	20.19
363	363	18.54
365	365	21.62
405	405	21.23
408	408	15.37
417	417	17.70
425	425	16.90
426	426	21.44
427	427	24.30
430	430	37.36
431	431	42.17
433	433	44.89
446	446	17.85
467	467	15.50
492	492	15.68
498	498	17.86
500	500	16.10
503	503	18.28
512	512	15.70
513	513	18.77
514	514	41.25
516	516	40.26
517	517	16.00
529	529	32.96
542	542	30.54
551	551	31.30
553	553	31.28
558	558	34.01
560	560	32.12
567	567	31.10
568	568	33.29
580	580	35.27
581	581	32.52
583	583	21.52
595	595	12.36
596	596	14.43
598	598	20.95
755	755	23.20
756	756	23.80
757	757	33.32
773	773	34.47
775	775	33.27
776	776	33.99
777	777	20.91
781	781	19.46
796	796	22.48
797	797	33.05
811	811	33.58
814	814	33.40
818	818	25.34
867	867	33.56
868	868	35.33
869	869	31.46
870	870	19.84
881	881	20.11
882	882	19.77
1005	1005	15.04
1092	1092	15.32
1093	1093	27.04
1094	1094	30.31
1095	1095	32.90
1119	1119	35.52
1120	1120	36.11
1123	1123	37.67
1125	1125	37.70
1167	1167	32.70
1169	1169	34.85
1170	1170	32.33
1171	1171	23.55
1172	1172	16.43
1191	1191	19.28
1192	1192	24.43
1295	1295	23.36
1297	1297	11.14
1312	1312	13.36
1313	1313	24.08
1339	1339	11.16
1365	1365	12.95
1402	1402	12.67
1403	1403	17.93
1404	1404	33.22
1449	1449	18.62
1471	1471	18.02
1472	1472	16.80
1479	1479	17.77
1494	1494	19.30
1496	1496	19.25
1506	1506	17.38
1518	1518	17.87
1524	1524	21.81
1525	1525	17.85
1529	1529	18.18
1554	1554	18.04
1555	1555	15.77
1563	1563	17.66
1567	1567	17.75
1570	1570	26.20
1576	1576	31.86
1578	1578	31.62
1582	1582	22.33
1588	1588	19.82
1589	1589	27.79
1595	1595	27.71
1605	1605	30.84
1607	1607	28.13
1626	1626	15.69
1630	1630	19.59
1631	1631	28.11
1636	1636	16.00
1643	1643	15.50
1648	1648	15.94
1653	1653	18.98
1654	1654	29.39
1668	1668	16.11
1675	1675	17.05
1676	1676	29.70
1679	1679	26.84
1680	1680	15.57
1707	1707	27.58
1709	1709	25.22
1716	1716	25.20
1718	1718	24.41
1728	1728	25.57
1731	1731	18.06
1738	1738	28.60
1739	1739	33.37
1754	1754	32.55
1755	1755	15.47
1765	1765	17.19
1767	1767	20.23
1768	1768	24.45
1769	1769	32.55
1770	1770	43.77
1772	1772	47.57
1773	1773	51.29
1776	1776	48.19
1788	1788	18.06
1812	1812	15.18
1813	1813	18.05
1826	1826	17.34
1828	1828	22.29
1832	1832	27.99
1833	1833	43.14
1837	1837	11.87
1838	1838	13.72
1852	1852	20.11
1853	1853	40.85
1855	1855	25.88
1856	1856	18.47
1865	1865	21.11
1874	1874	21.09
1875	1875	17.27
1885	1885	16.39
1887	1887	15.14
1889	1889	17.29
1898	1898	14.63
1900	1900	18.23
1913	1913	15.24
1927	1927	23.96
1928	1928	21.19
1929	1929	17.97
1947	1947	19.44
1949	1949	17.37
1951	1951	26.50
1952	1952	39.46
1954	1954	43.32
1956	1956	47.56
1967	1967	48.99
1970	1970	17.44
1971	1971	13.43
1972	1972	20.65
2030	2030	19.49
2031	2031	23.76
2033	2033	23.55
2034	2034	29.29
2035	2035	40.09
2036	2036	47.84
2040	2040	15.45
2042	2042	33.02
2082	2082	34.70
2084	2084	35.54
2104	2104	35.23
2149	2149	36.36
2150	2150	37.81
2151	2151	24.56
2156	2156	26.08
2159	2159	24.85
2160	2160	33.17
2161	2161	35.70
2235	2235	37.58
2236	2236	21.50
2255	2255	12.50
2256	2256	14.57
2279	2279	13.93
2280	2280	15.33
2281	2281	35.03
2284	2284	36.15
2286	2286	14.85
2326	2326	17.07
2328	2328	16.95
2329	2329	14.16
2383	2383	15.58
2384	2384	17.96
2385	2385	23.27
2387	2387	30.20
2388	2388	26.81
2389	2389	15.31
2394	2394	17.11
2400	2400	26.09
2404	2404	27.63
2411	2411	28.65
2412	2412	17.00
2421	2421	24.96
2423	2423	25.17
2424	2424	25.10
2428	2428	25.24
2455	2455	25.25
2456	2456	15.63
2461	2461	33.09
2482	2482	33.13
2536	2536	35.62
2539	2539	37.66
2557	2557	29.12
2579	2579	30.66
2580	2580	20.42
2581	2581	14.72
2597	2597	15.52
2598	2598	16.63
2667	2667	16.68
2668	2668	17.81
2669	2669	33.21
2705	2705	34.72
2707	2707	34.18
2708	2708	31.58
2712	2712	19.56
2713	2713	21.02
2719	2719	21.95
2720	2720	20.98
2758	2758	21.09
2759	2759	31.33
2767	2767	33.41
2781	2781	31.86
2798	2798	32.01
2799	2799	31.71
2825	2825	32.87
2826	2826	33.96
2833	2833	31.95
2847	2847	33.66
2880	2880	34.87
2881	2881	35.34
2883	2883	31.41
2885	2885	22.49
2900	2900	19.68
2960	2960	19.86
2961	2961	19.65
2973	2973	19.85
2975	2975	28.94
2976	2976	31.43
3000	3000	33.69
3019	3019	32.59
3047	3047	32.79
3048	3048	35.69
3049	3049	31.82
3053	3053	35.23
3066	3066	35.67
3067	3067	33.39
3071	3071	28.30
3082	3082	35.62
3095	3095	25.46
3100	3100	25.24
3102	3102	16.97
3108	3108	25.74
3110	3110	28.62
3112	3112	21.16
3113	3113	17.91
3116	3116	25.36
3125	3125	33.30
3131	3131	36.44
3134	3134	33.70
3138	3138	33.50
3142	3142	16.57
3143	3143	32.76
3145	3145	33.00
3150	3150	39.46
3168	3168	28.41
3174	3174	24.40
3175	3175	17.15
3182	3182	18.56
3218	3218	15.52
3239	3239	15.35
3249	3249	18.53
3251	3251	20.02
3253	3253	34.90
3271	3271	35.52
3274	3274	35.30
3313	3313	22.96
3314	3314	19.34
3328	3328	15.75
3329	3329	17.47
3330	3330	22.74
3333	3333	28.45
3334	3334	22.47
3367	3367	19.68
3418	3418	11.46
3455	3455	8.30
3456	3456	5.83
3458	3458	0.00
